Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Студия,5050000,0,25.4,16.4,2.0,3.0,5,13,Индивидуальный,Всеволожский,,
Студия,3800000,0,22.5,16.8,2.0,3.2,2,6,Индивидуальный,Петроградский,,
Квартира,5900000,2,53.1,28.0,10.8,2.5,2,5,Кирпичный,Петродворцовый,Проспект Ветеранов,17.3
Квартира,14600000,2,73.0,40.0,14.0,,6,24,Кирпичный,Приморский,Комендантский  проспект,2.8
Квартира,6500000,2,44.3,31.0,5.4,2.75,5,5,Индивидуальный,Красносельский,,
Квартира,6500000,1,41.8,34.0,5.0,2.5,2,11,Индивидуальный,Выборгский,,
Квартира,27500000,3,84.4,31.4,32.5,2.7,12,14,Кирпично-Монолитный,Приморский,Черная речка,0.8
Квартира,10850000,3,81.0,60.0,10.7,2.5,3,13,Индивидуальный,Выборгский,,
Квартира,2498000,1,31.2,11.3,10.0,2.8,1,5,Панельный,Всеволожский,Девяткино,32.3
Квартира,8700000,1,43.0,20.3,11.6,2.64,2,6,Индивидуальный,Пушкинский,,
Квартира,9000000,2,51.9,35.0,10.0,2.64,11,18,Индивидуальный,Красногвардейский,Гражданский  проспект,
Квартира,14095000,1,47.46,13.09,18.54,2.75,12,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,14400000,2,60.2,37.2,10.4,2.6,15,17,Индивидуальный,Калининский,,
Квартира,10800000,3,71.7,46.3,8.5,2.57,7,10,606 серия,Приморский,Комендантский  проспект,1.0
Квартира,16900000,2,72.0,53.0,15.0,2.9,8,14,Кирпично-Монолитный,Василеостровский,Приморская,1.4
Квартира,8100000,1,38.1,10.4,20.0,2.71,10,25,Кирпично-Монолитный,Невский,Проспект Большевиков,2.1
Квартира,6200000,3,41.1,29.4,5.2,2.5,5,5,Панельный,Петродворцовый,Проспект Ветеранов,27.4
Квартира,8800000,2,51.2,31.6,8.7,,2,9,Панельный,Приморский,Комендантский  проспект,0.4
Квартира,950000,1,29.3,15.7,5.1,2.5,2,2,Кирпичный,Выборгский,Беговая,91.9
Квартира,15700000,3,83.2,55.5,10.4,3.35,3,5,Старый фонд (СФ),Центральный,Чернышевская,0.3
Квартира,17150000,3,97.6,56.8,12.1,3.0,2,17,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,4.6
Квартира,9250000,2,49.8,30.1,9.5,2.7,11,12,137 серия,Выборгский,Проспект Просвещения,0.3
Студия,4800000,0,23.45,14.66,,2.7,9,13,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.0
Квартира,6500000,1,38.7,16.4,10.0,2.65,3,12,137 серия,Невский,Рыбацкое,1.0
Студия,4750000,0,17.1,17.0,,,1,7,Кирпичный,Петроградский,Спортивная,0.4
Студия,4500000,0,25.9,16.0,2.0,2.7,14,18,Индивидуальный,Всеволожский,,
Квартира,8450000,2,55.9,34.3,8.3,3.0,4,5,Кирпичный,Невский,Ломоносовская,1.3
Квартира,10000000,1,43.87,15.91,13.11,2.74,20,25,Индивидуальный,Приморский,,
Квартира,25999000,2,74.4,27.8,23.3,2.75,3,14,Индивидуальный,Выборгский,,
Студия,4700000,0,23.6,16.77,1.0,2.5,25,25,Индивидуальный,Всеволожский,,
