Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,13760000,1,40.0,12.8,11.0,,11,14,Кирпично-Монолитный,Приморский,Черная речка,1.0
Квартира,6950000,2,52.6,27.65,9.18,2.64,9,9,Индивидуальный,Петродворцовый,,
Квартира,9000000,2,33.4,14.6,10.7,2.8,11,13,Кирпично-Монолитный,Приморский,Площадь Ленина,4.1
Квартира,24000000,3,80.1,43.3,10.0,2.9,1,2,Кирпичный,Приморский,Черная речка,1.3
Квартира,5990000,2,44.0,28.0,5.4,,1,5,Брежневка,Московский,Парк Победы,1.6
Квартира,10000000,1,44.0,15.91,13.11,2.74,11,25,Индивидуальный,Приморский,,
Квартира,10359000,2,57.52,32.29,11.04,2.55,4,17,Кирпично-Монолитный,Московский,Звездная,2.1
Квартира,7700000,2,51.3,30.4,7.1,,2,9,Кирпичный,Петродворцовый,Автово,13.2
Квартира,27900000,3,107.4,66.4,7.8,3.23,5,6,Кирпичный,Петроградский,Петроградская,0.1
Квартира,18900000,3,53.3,40.0,10.0,3.0,16,23,Индивидуальный,Московский,,
Квартира,89500000,4,170.3,99.8,27.4,3.3,3,5,Индивидуальный,Петроградский,Крестовский остров,0.8
Квартира,5500000,2,46.0,30.5,5.53,,5,5,Панельный,Красносельский,Проспект Ветеранов,4.7
Квартира,6450000,2,50.4,32.0,9.0,2.65,2,9,Индивидуальный,Пушкинский,,
Квартира,14000000,1,38.0,12.0,18.0,2.8,6,10,Индивидуальный,Приморский,,
Квартира,8200000,2,57.1,30.0,8.3,2.75,8,10,Панельный,Невский,Рыбацкое,1.0
Квартира,6200000,2,42.8,28.5,8.96,2.5,2,9,Панельный,Кировский,Проспект Ветеранов,0.6
Квартира,8996000,2,54.52,25.78,13.32,,7,19,Кирпично-Монолитный,Всеволожский,Девяткино,1.5
Квартира,13480000,2,68.2,28.0,10.5,2.5,9,17,Индивидуальный,Выборгский,,
Студия,5150000,0,25.3,15.0,6.0,2.7,12,25,Монолитно-панельный,Всеволожский,Девяткино,0.4
Квартира,12500000,1,41.0,15.85,9.6,2.8,5,13,Монолит,Приморский,Черная речка,1.6
Квартира,6700000,1,31.2,17.3,5.6,2.5,3,5,Кирпичный,Московский,Парк Победы,1.1
Квартира,5200000,1,36.7,14.5,10.6,2.6,10,16,Монолитно-панельный,Ломоносовский,Проспект Ветеранов,7.2
Студия,4640000,0,22.6,13.11,,,5,11,Кирпичный,Выборгский,Площадь Мужества,0.9
Квартира,16380000,3,83.9,45.7,15.0,2.75,15,16,Кирпично-Монолитный,Московский,Звездная,1.1
Квартира,6700000,2,50.3,28.3,10.2,2.6,9,9,Панельный,Красносельский,Проспект Ветеранов,6.4
Студия,4500000,0,24.0,18.0,5.0,2.8,18,22,Индивидуальный,Всеволожский,,
Квартира,17000000,3,78.0,55.0,11.0,2.64,3,10,Индивидуальный,Выборгский,,
Квартира,7200000,1,36.0,18.0,9.0,2.75,3,9,Индивидуальный,Калининский,Гражданский  проспект,
Квартира,8300000,3,62.5,39.6,10.0,2.6,1,9,504 серия,Невский,Проспект Большевиков,1.3
Квартира,370000,1,45.6,23.8,7.7,2.9,1,1,Кирпичный,Выборгский,Шушары,158.9
Квартира,9100000,2,60.3,32.8,11.8,2.8,4,24,Кирпично-Монолитный,Невский,Ломоносовская,4.3
Квартира,45000000,2,78.5,31.6,17.7,3.0,6,9,Кирпично-Монолитный,Петроградский,Чкаловская,0.6
Квартира,29999000,4,125.0,73.3,13.5,2.73,4,16,Кирпичный,Василеостровский,Приморская,1.2
Студия,6500000,0,29.0,24.0,,2.75,7,13,Кирпично-Монолитный,Калининский,Гражданский  проспект,0.7
Квартира,7400000,3,55.2,38.1,5.8,2.5,1,5,Кирпичный,Кировский,Кировский завод,0.7
Квартира,10300000,4,73.5,48.8,6.1,2.5,1,10,504 серия,Приморский,Комендантский  проспект,1.0
Студия,4700000,0,17.0,14.0,,,2,5,Кирпичный,Центральный,Владимирская,
Квартира,14600000,4,107.7,69.5,11.0,,2,9,Панельный,Кировский,Проспект Ветеранов,2.9
Студия,3200000,0,21.2,12.0,5.0,,3,12,Монолит,Всеволожский,,
Квартира,7690000,2,60.2,40.2,8.5,2.5,1,9,Монолит,Пушкинский,Шушары,8.6
Квартира,6848000,1,38.87,15.2,10.13,3.0,1,4,Панельный,Колпинский,Рыбацкое,11.2
Квартира,16000000,2,75.3,36.9,16.2,2.74,10,16,Кирпичный,Калининский,Лесная,2.8
Студия,5500000,0,24.4,12.0,3.0,2.64,9,19,Индивидуальный,Василеостровский,,
Квартира,5800000,1,35.3,21.35,6.0,2.6,6,12,Кирпичный,Выборгский,Площадь Мужества,
Квартира,6500000,3,60.4,41.6,5.8,,3,9,Кирпичный,Красносельский,Проспект Ветеранов,16.7
Квартира,13800000,1,64.0,24.0,20.0,2.7,3,8,Кирпичный,Выборгский,Площадь Мужества,1.1
Квартира,7650000,1,35.4,13.7,11.7,,3,20,Монолит,Красносельский,Проспект Ветеранов,5.7
Квартира,7900000,2,49.5,29.0,7.2,2.64,3,4,Индивидуальный,Пушкинский,,
Квартира,6500000,2,46.1,27.0,5.8,2.5,3,5,Индивидуальный,Пушкинский,,
Квартира,32190000,5,182.1,123.0,14.0,3.75,2,6,Индивидуальный,Центральный,,
Квартира,41130000,3,120.6,74.1,15.2,3.0,3,9,Монолит,Петроградский,Крестовский остров,1.1
Квартира,12200000,2,63.2,36.9,8.6,3.9,6,9,Сталинский,Московский,Звездная,0.7
Квартира,8220000,2,53.0,28.2,10.8,,4,5,Панельный,Петродворцовый,Проспект Ветеранов,17.1
Квартира,5300000,1,31.4,14.53,9.61,,2,12,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,2.2
Квартира,6650000,2,53.6,28.3,8.1,,1,5,Панельный,Всеволожский,,
Квартира,68000000,4,164.0,95.0,19.0,3.0,11,13,Монолит,Приморский,Беговая,1.4
Квартира,7348000,3,73.6,41.68,10.9,2.65,8,11,Монолит,Всеволожский,Ладожская,18.3
Квартира,6200000,2,45.0,30.9,6.0,2.5,1,5,Панельный,Красногвардейский,Ладожская,4.9
Квартира,9990000,2,58.6,29.3,12.2,2.75,2,8,Монолит,Всеволожский,Ладожская,8.1
Квартира,9599000,2,64.3,33.7,16.1,,1,17,Кирпично-Монолитный,Московский,Звездная,1.5
Студия,4800000,0,24.2,17.1,,2.75,7,9,Монолит,Всеволожский,Улица Дыбенко,1.6
Студия,5650000,0,25.66,18.02,,2.7,22,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.3
Квартира,6980000,1,31.5,15.5,8.6,2.8,15,22,Кирпично-Монолитный,Калининский,Лесная,2.0
Студия,5276000,0,29.15,20.86,,2.6,16,27,Монолит,Выборгский,Парнас,0.9
Квартира,7300000,2,49.6,30.9,6.0,2.53,7,9,Индивидуальный,Красногвардейский,,
Квартира,4800000,1,32.3,17.9,6.2,2.5,8,9,Корабль,Выборгский,Проспект Просвещения,1.8
Студия,6769000,0,23.78,17.0,,2.5,22,26,Монолит,Московский,Московская,1.2
Квартира,4600000,1,30.4,18.0,,2.75,15,15,Кирпично-Монолитный,Невский,Улица Дыбенко,1.7
Квартира,11500000,3,52.2,36.2,5.9,2.9,5,5,Кирпичный,Василеостровский,Василеостровская,0.8
Квартира,5950000,1,31.5,17.9,5.5,2.52,3,5,Кирпичный,Калининский,Выборгская,2.6
Квартира,11600000,4,82.3,55.2,10.0,2.5,6,9,Панельный,Василеостровский,Приморская,0.9
Квартира,7900000,1,36.75,10.2,16.2,2.8,2,15,Кирпично-Монолитный,Невский,Проспект Большевиков,2.2
Квартира,9950000,1,40.0,12.42,16.02,2.85,11,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,16230000,2,55.9,27.9,13.7,2.75,12,13,Монолит,Приморский,Лесная,1.2
Квартира,9200000,3,60.3,43.2,6.3,2.64,4,9,Индивидуальный,Выборгский,Гражданский  проспект,
Квартира,15500000,2,80.0,36.6,15.6,2.78,14,22,Кирпично-Монолитный,Красносельский,Ленинский  проспект,5.5
Квартира,14500000,1,46.3,19.0,16.0,2.5,10,10,Индивидуальный,Василеостровский,,
Квартира,7650000,2,56.2,35.0,7.9,3.0,4,5,Индивидуальный,Невский,,
Студия,6650000,0,25.0,25.0,,,1,5,Сталинский,Василеостровский,Спортивная,0.9
Квартира,6800000,2,44.0,26.1,8.2,,2,5,Монолит,Пушкинский,Шушары,8.6
Квартира,13750000,1,42.6,35.0,4.0,2.64,4,8,Индивидуальный,Центральный,,
Квартира,29500000,12,235.8,146.1,32.4,2.92,2,4,Кирпичный,Петроградский,Спортивная,0.4
Квартира,9240000,2,60.06,23.35,12.5,2.8,22,22,Монолит,Всеволожский,Улица Дыбенко,2.2
Квартира,10500000,2,49.5,27.1,7.9,2.8,3,4,Индивидуальный,Кировский,,
Квартира,29800000,3,124.0,80.0,38.0,2.8,4,5,Кирпичный,Пушкинский,Купчино,12.8
Квартира,15940000,2,86.7,34.0,28.6,3.0,6,6,Индивидуальный,Выборгский,,
Квартира,9200000,2,57.0,23.0,21.0,,1,14,Кирпично-Монолитный,Выборгский,Проспект Просвещения,4.7
Квартира,5900000,1,30.1,15.6,8.2,2.5,7,9,606 серия,Выборгский,Проспект Просвещения,2.3
Студия,4399000,0,23.9,18.1,5.0,2.78,18,21,Индивидуальный,Всеволожский,,
Студия,5500000,0,32.3,19.6,,2.8,12,21,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,5.7
Квартира,11861000,2,85.8,40.32,26.25,2.87,1,4,Кирпично-Монолитный,Пушкинский,Московская,11.1
Квартира,19700000,5,134.5,81.7,15.6,3.2,4,6,Кирпичный,Василеостровский,Василеостровская,0.3
Студия,5150000,0,24.5,18.0,4.0,2.75,4,14,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Студия,7385000,0,25.95,18.35,,3.0,5,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,10900000,2,50.5,32.4,8.2,,7,9,Кирпичный,Выборгский,,
Квартира,5350000,2,44.7,28.83,5.3,2.5,4,5,Брежневка,Петродворцовый,Проспект Ветеранов,19.8
Квартира,43900000,3,130.0,54.0,35.0,3.0,2,7,Кирпично-Монолитный,Петроградский,Крестовский остров,1.3
Квартира,10700000,1,30.2,11.7,4.9,2.7,3,5,Кирпичный,Центральный,Владимирская,0.4
Квартира,4900000,1,35.2,18.1,7.2,2.64,8,12,Индивидуальный,Кронштадтский,,
Квартира,49900000,1,65.0,35.0,6.3,3.2,6,7,Кирпичный,Петроградский,,
Студия,5999000,0,25.29,11.86,4.0,2.75,7,12,Индивидуальный,Московский,,
Квартира,9500000,3,62.9,50.04,7.0,2.5,4,5,Индивидуальный,Кировский,,
Квартира,6490000,1,30.6,14.4,7.9,,8,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.7
Студия,5750000,0,27.3,15.5,5.2,2.64,2,25,Индивидуальный,Калининский,,
Квартира,8750000,1,32.4,12.7,10.0,2.7,5,13,Кирпично-Монолитный,Приморский,Беговая,0.2
Квартира,15800000,3,122.3,78.0,22.0,3.1,3,4,Ст.Фонд Кап.Рем.,Центральный,Площадь Восстания,0.9
Квартира,7800000,1,37.8,10.2,15.4,2.55,15,26,Кирпично-Монолитный,Невский,Улица Дыбенко,1.7
Квартира,6900000,1,46.2,15.1,15.7,3.0,7,19,Кирпично-Монолитный,Всеволожский,Девяткино,2.3
Квартира,6750000,1,40.1,14.55,11.2,2.7,12,25,Кирпично-Монолитный,Выборгский,Парнас,1.5
Квартира,9500000,2,55.0,30.0,12.0,,1,5,Монолит,Петродворцовый,Беговая,20.3
Квартира,9200000,2,51.0,31.4,8.4,3.0,5,5,Кирпичный,Василеостровский,Приморская,1.5
Квартира,7321000,1,36.3,20.0,9.0,2.5,15,26,Индивидуальный,Всеволожский,,
Квартира,14900000,2,60.0,43.4,16.6,2.5,8,12,Индивидуальный,Московский,,
Студия,4400000,0,25.0,13.0,5.0,2.64,1,25,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,8150000,2,52.0,30.0,12.5,2.8,6,17,Монолит,Всеволожский,Девяткино,2.2
Квартира,29200000,2,88.8,51.4,20.6,4.0,3,4,Кирпичный,Центральный,Чернышевская,0.8
Студия,4450000,0,25.2,17.0,2.0,2.64,4,12,Индивидуальный,Красносельский,,
Студия,4100000,0,24.8,18.0,,2.6,20,27,Кирпично-Монолитный,Всеволожский,Девяткино,1.5
Квартира,7125000,1,35.8,13.1,12.0,2.8,3,3,Индивидуальный,Петродворцовый,,
Квартира,10380000,2,56.4,29.8,11.0,2.7,3,10,Панельный,Приморский,Комендантский  проспект,1.9
Квартира,16299000,2,61.2,26.0,20.0,3.0,5,9,Индивидуальный,Выборгский,,
Квартира,57670000,3,167.0,71.1,45.9,3.0,8,11,Монолит,Петроградский,Петроградская,1.3
Квартира,5400000,1,29.8,14.6,8.2,2.6,17,24,Индивидуальный,Невский,,
Квартира,6400000,1,33.5,14.9,11.3,2.75,3,8,Монолит,Кировский,Проспект Ветеранов,7.7
Квартира,11000000,3,89.0,65.5,9.3,,1,5,Кирпичный,Кронштадтский,,
Квартира,2100000,1,28.8,16.0,5.0,,1,3,Кирпичный,Петродворцовый,Проспект Ветеранов,28.0
Квартира,6070000,1,34.36,15.0,9.77,2.6,8,11,Кирпично-Монолитный,Пушкинский,Купчино,3.0
Квартира,9999000,3,67.3,42.3,8.4,2.64,4,10,Индивидуальный,Московский,,
Квартира,6350000,2,41.3,26.3,5.5,2.5,4,5,Кирпичный,Петродворцовый,Беговая,25.2
Квартира,7200000,1,38.0,17.0,8.0,2.55,10,10,Индивидуальный,Выборгский,Комендантский  проспект,
Квартира,22500000,5,133.0,86.8,10.0,3.3,5,7,Ст.Фонд Кап.Рем.,Адмиралтейский,Технологический институт,0.3
Квартира,7600000,2,50.9,30.8,7.0,2.5,2,5,Кирпичный,Пушкинский,Купчино,11.1
Квартира,49980000,4,202.3,127.0,23.0,,2,5,Кирпично-Монолитный,Адмиралтейский,,
Студия,5990000,0,23.9,19.3,,2.7,14,18,Монолит,Московский,Московская,1.2
Квартира,9990000,1,37.0,15.2,9.8,2.75,3,9,Кирпично-Монолитный,Адмиралтейский,Фрунзенская,0.5
Квартира,4200000,1,30.8,14.7,10.0,2.7,3,9,Кирпичный,Пушкинский,Шушары,7.4
Квартира,25400000,2,58.32,30.65,12.65,3.0,8,9,Индивидуальный,Центральный,,
Квартира,13350000,3,66.8,41.0,9.0,2.5,3,10,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,6500000,1,36.0,16.0,10.0,,17,25,Кирпично-Монолитный,Выборгский,Парнас,1.2
Квартира,8900000,4,60.0,45.2,7.2,2.6,2,5,Панельный,Невский,Ломоносовская,1.7
Квартира,22800000,6,104.8,88.6,5.9,4.0,2,7,Кирпичный,Адмиралтейский,Балтийская,0.8
Квартира,3780000,1,37.9,17.0,11.6,2.55,5,9,Кирпично-Монолитный,Пушкинский,Шушары,7.3
Студия,3999000,0,25.0,16.0,,,7,16,Индивидуальный,Кировский,Проспект Ветеранов,11.4
Квартира,7800000,1,41.5,17.0,14.0,2.78,2,8,Индивидуальный,Красносельский,,
Квартира,7150000,2,52.08,26.6,15.38,2.5,10,20,Индивидуальный,Всеволожский,,
Квартира,8000000,2,44.0,24.0,8.0,3.0,3,5,Кирпичный,Адмиралтейский,Балтийская,1.2
Квартира,7500000,1,38.0,16.3,13.7,2.64,6,18,Индивидуальный,Красногвардейский,,
Квартира,6600000,2,57.3,30.8,8.2,,3,5,Панельный,Ломоносовский,Проспект Ветеранов,15.9
Квартира,14140000,4,98.2,58.3,10.5,2.77,22,22,Кирпично-Монолитный,Красногвардейский,Ладожская,2.6
Студия,5880000,0,30.2,13.8,5.0,,1,15,Кирпично-Монолитный,Московский,Звездная,2.1
Студия,6750000,0,23.78,17.0,,2.5,22,26,Монолит,Московский,Московская,1.2
Квартира,43000000,5,165.0,75.0,23.0,,2,3,Индивидуальный,Приморский,Черная речка,1.3
Квартира,13700000,3,62.0,27.0,18.0,2.6,8,25,Кирпично-Монолитный,Невский,Рыбацкое,1.8
Квартира,10000000,2,45.0,24.0,10.0,2.9,1,7,Индивидуальный,Московский,,
Квартира,10000000,2,60.0,28.0,14.0,,7,9,Панельный,Всеволожский,,
Квартира,5800000,2,43.8,28.3,5.1,2.5,4,5,Кирпичный,Пушкинский,,
Квартира,7680000,1,40.2,15.7,9.0,2.75,2,8,Монолит,Красносельский,Ленинский  проспект,9.0
Квартира,19470000,2,86.12,30.44,14.45,,7,10,Кирпично-Монолитный,Фрунзенский,Обводный канал,0.6
Квартира,6390000,1,39.1,17.2,10.3,,7,16,Кирпичный,Невский,Рыбацкое,1.5
Квартира,16500000,4,87.8,64.7,9.0,3.0,1,5,Кирпичный,Выборгский,,
Квартира,6700000,3,60.3,43.0,6.3,2.5,4,9,Панельный,Петродворцовый,Автово,27.7
Квартира,26800000,2,106.0,40.7,30.0,3.0,3,12,Кирпичный,Московский,Парк Победы,0.6
Квартира,7800000,1,42.0,17.0,12.6,2.6,5,16,Индивидуальный,Невский,Проспект Большевиков,0.4
Студия,4900000,0,25.0,18.39,,2.75,6,10,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,6600000,2,52.2,25.9,8.6,2.55,1,9,Панельный,Невский,Рыбацкое,3.3
Квартира,9900000,1,32.6,16.0,8.7,2.64,9,24,Индивидуальный,Калининский,,
Квартира,13400000,2,62.3,35.5,13.7,2.7,4,5,Панельный,Пушкинский,Шушары,13.7
Квартира,12875000,2,51.2,23.6,15.9,2.54,11,24,Панельный,Невский,Проспект Большевиков,2.5
Квартира,9770000,2,50.0,24.5,12.2,,10,15,Кирпично-Монолитный,Московский,Звездная,2.1
Квартира,9500000,1,41.9,16.1,13.8,2.75,4,24,Кирпично-Монолитный,Московский,Московская,0.8
Квартира,8600000,2,49.6,22.0,16.2,2.7,7,13,Монолитно-панельный,Калининский,Академическая,3.3
Квартира,9270000,3,56.6,38.4,6.1,2.58,6,10,504 серия,Приморский,Комендантский  проспект,1.6
Квартира,8495000,1,39.0,15.0,13.0,2.65,14,19,Монолит,Василеостровский,Приморская,2.0
Квартира,10900000,1,43.0,16.1,13.4,2.5,5,16,Индивидуальный,Калининский,Площадь Ленина,
Квартира,5200000,2,43.9,29.8,7.0,2.5,5,5,Панельный,Всеволожский,Девяткино,11.6
Квартира,7148000,1,54.3,31.2,8.5,2.75,8,17,Панельный,Тосненский,Рыбацкое,13.1
Квартира,25400000,10,562.4,497.16,10.0,,1,3,Кирпичный,Адмиралтейский,Нарвская,0.5
Квартира,79000000,4,182.6,80.3,30.0,,3,5,Кирпичный,Петроградский,Чкаловская,0.5
Квартира,8500000,1,43.0,19.0,12.0,2.8,2,14,Индивидуальный,Кировский,,
Квартира,12300000,3,69.4,42.16,13.2,2.6,16,24,Кирпично-Монолитный,Всеволожский,Девяткино,1.0
Квартира,7000000,1,43.5,14.0,16.3,4.8,4,4,Индивидуальный,Пушкинский,Московская,
Квартира,17500000,1,43.1,19.53,11.71,2.7,6,23,Индивидуальный,Приморский,,
Квартира,3849000,1,43.0,27.0,5.5,2.6,2,3,Кирпичный,Гатчинский,Купчино,22.5
Квартира,7150000,1,37.5,15.0,8.9,2.8,21,23,Монолит,Красногвардейский,Ладожская,4.1
Квартира,6500000,2,45.7,29.0,6.0,2.64,4,4,Индивидуальный,Кировский,,
Студия,6970000,0,30.0,16.4,,2.85,10,12,Кирпично-Монолитный,Московский,Московские ворота,1.0
Квартира,8700000,3,57.5,39.0,6.16,2.5,1,9,504 серия,Калининский,Политехническая,1.8
Квартира,9300000,2,50.7,29.5,8.1,2.5,12,12,Кирпичный,Московский,Московская,0.6
Квартира,4600000,1,35.0,17.8,10.5,,7,8,Монолитно-панельный,Всеволожский,Ладожская,9.1
Квартира,20200000,3,89.9,49.1,19.0,2.75,19,20,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.4
Квартира,15000000,2,51.4,43.6,7.8,2.64,2,7,Индивидуальный,Московский,Московская,
Студия,4300000,0,24.0,10.0,6.3,2.7,14,15,Кирпично-Монолитный,Всеволожский,Девяткино,1.6
Квартира,8500000,2,49.0,24.4,8.4,2.7,4,4,Старый фонд (СФ),Кировский,Нарвская,0.7
Квартира,5650000,2,46.0,30.2,5.5,2.53,4,5,Панельный,Фрунзенский,Международная,1.6
Квартира,13500000,3,58.5,37.4,7.1,2.64,9,9,Индивидуальный,Калининский,,
Квартира,6940000,2,54.13,23.4,19.37,2.8,8,22,Индивидуальный,Всеволожский,,
Квартира,18972000,2,85.46,35.45,31.03,2.67,3,6,Кирпичный,Кировский,Нарвская,0.7
Квартира,30000000,3,125.1,84.0,14.0,2.8,9,13,Кирпично-Монолитный,Василеостровский,Приморская,0.8
Квартира,9500000,1,51.5,20.2,13.5,,9,16,Кирпично-Монолитный,Красногвардейский,Ладожская,4.0
Квартира,13447000,1,44.53,14.48,12.47,2.75,3,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Студия,7850000,0,22.7,15.1,,2.75,1,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Квартира,4900000,1,37.7,20.0,6.0,2.5,1,5,Кирпичный,Красносельский,Проспект Ветеранов,10.3
Квартира,22700000,3,90.4,52.3,14.2,,1,2,Кирпичный,Невский,Обводный канал,0.4
Квартира,10990000,1,43.0,12.3,16.5,3.0,4,24,Кирпично-Монолитный,Московский,Московская,1.3
Студия,4300000,0,26.0,24.3,1.7,2.64,5,17,Индивидуальный,Московский,,
Квартира,14500000,3,80.2,61.0,8.2,2.64,1,5,Индивидуальный,Московский,Электросила,
Квартира,11600000,2,56.7,26.0,17.0,2.57,8,13,Индивидуальный,Выборгский,,
Квартира,10300000,2,55.5,27.95,11.11,2.57,12,25,Панельный,Красногвардейский,Гражданский  проспект,
Квартира,9700000,1,34.0,15.7,10.3,2.5,7,11,Индивидуальный,Приморский,,
Квартира,8490000,3,87.5,59.6,9.7,3.1,3,4,Кирпичный,Красногвардейский,Ладожская,5.5
Квартира,8300000,2,46.0,27.0,7.0,2.64,2,10,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,8450000,2,54.8,32.3,9.5,2.76,15,17,Монолит,Красногвардейский,Ладожская,6.5
Квартира,6570000,1,39.0,10.5,18.5,,2,14,Кирпично-Монолитный,Выборгский,Проспект Просвещения,4.6
Студия,4900000,0,24.0,16.0,4.0,2.75,13,15,Кирпично-Монолитный,Всеволожский,Девяткино,1.8
Квартира,3950000,1,36.0,15.2,9.0,2.9,3,3,Кирпичный,Всеволожский,Проспект Просвещения,12.6
Квартира,11500000,1,43.3,16.7,12.7,2.75,2,14,Монолит,Приморский,Лесная,1.0
Квартира,8500000,2,46.0,28.0,8.5,2.64,8,9,Индивидуальный,Невский,,
Студия,4200000,0,24.21,18.13,,,2,5,Монолитно-панельный,Московский,Звездная,8.1
Квартира,1093000,3,41.6,29.9,5.2,,1,5,Панельный,Бокситогорский,,
Квартира,12570000,1,41.0,14.5,12.8,2.75,9,14,Монолит,Приморский,Лесная,1.0
Квартира,15700000,2,62.0,38.0,8.0,2.75,1,5,Индивидуальный,Центральный,,
Квартира,11300000,3,71.7,48.0,8.2,2.5,1,9,Панельный,Василеостровский,Приморская,1.0
Квартира,7650000,2,45.0,30.0,7.9,,3,5,Панельный,Калининский,Гражданский  проспект,1.0
Квартира,7000000,1,41.3,17.0,10.0,2.5,6,16,Индивидуальный,Всеволожский,,
Квартира,6900000,1,35.31,14.08,8.01,2.64,6,15,Индивидуальный,Московский,Московская,
Квартира,9100000,1,34.7,13.2,10.3,,24,25,Монолит,Невский,Пролетарская,1.1
Квартира,9300000,2,45.2,30.2,6.2,2.95,2,4,Кирпичный,Адмиралтейский,Нарвская,1.1
Квартира,9500000,1,38.2,19.0,10.0,2.7,12,18,Монолит,Московский,Звездная,0.9
Квартира,6290000,1,37.3,10.5,17.2,2.77,3,5,Кирпично-Монолитный,Московский,Московская,10.0
Квартира,13800000,2,56.5,27.0,16.5,2.8,5,14,Кирпично-Монолитный,Адмиралтейский,Балтийская,1.0
Квартира,3000000,1,30.0,16.0,7.0,,1,2,Панельный,Всеволожский,,
Студия,5700000,0,28.8,19.7,3.26,2.64,21,29,Индивидуальный,Выборгский,,
Квартира,12700000,2,56.5,34.6,8.8,2.65,2,6,Индивидуальный,Московский,Электросила,
Квартира,10000000,1,40.4,16.0,11.9,2.64,17,18,Индивидуальный,Калининский,,
Студия,4361000,0,20.98,15.72,,2.7,5,19,Кирпично-Монолитный,Всеволожский,Девяткино,2.2
Квартира,9000000,2,66.4,37.6,15.7,,1,4,Сталинский,Кронштадтский,Беговая,23.6
Квартира,14200000,3,76.8,59.0,11.9,2.5,6,16,Индивидуальный,Выборгский,,
Студия,5900000,0,24.0,13.0,5.0,2.7,7,15,Монолит,Невский,Проспект Большевиков,1.6
Квартира,3250000,2,47.7,26.1,7.3,2.5,3,3,Брежневка,Приозерский,Парнас,54.9
Квартира,30450000,2,76.16,35.15,20.58,3.0,5,8,Монолит,Петроградский,Спортивная,1.8
Квартира,5400000,1,31.2,10.45,12.81,2.75,7,10,Панельный,Всеволожский,Ладожская,8.1
Квартира,5500000,2,42.0,28.0,5.7,,5,8,Блочный,Кировский,Автово,1.0
Квартира,5000000,1,27.7,16.0,6.0,2.6,11,15,Панельный,Кировский,Автово,1.3
Квартира,9350000,3,58.2,37.2,6.9,2.64,9,9,504 серия,Приморский,Комендантский  проспект,
Квартира,10230000,1,39.7,17.61,10.51,2.75,6,18,Кирпично-Монолитный,Приморский,Пионерская,0.6
Квартира,8900000,2,44.5,26.0,8.0,2.64,10,14,Индивидуальный,Выборгский,,
Квартира,8300000,3,67.8,43.0,9.0,3.0,1,4,Кирпичный,Кронштадтский,Старая Деревня,26.4
Квартира,10150000,2,56.2,35.1,7.5,3.0,1,5,Сталинский,Красногвардейский,Новочеркасская,0.2
Квартира,4650000,2,46.2,26.8,6.3,2.55,2,5,Панельный,Выборгский,Беговая,49.1
Квартира,30500000,2,80.0,68.0,6.0,3.2,3,4,Кирпичный,Петроградский,Чкаловская,0.4
Квартира,15999000,3,69.5,39.9,9.6,2.55,6,12,Кирпичный,Василеостровский,Приморская,1.8
Квартира,25500000,5,156.61,102.3,23.0,3.8,4,6,Старый фонд (СФ),Центральный,Чернышевская,1.0
Квартира,5800000,1,39.0,17.1,11.0,2.8,3,4,Кирпично-Монолитный,Петродворцовый,Проспект Ветеранов,28.3
Квартира,37500000,2,158.7,82.8,27.0,3.3,4,17,Кирпично-Монолитный,Василеостровский,Приморская,1.0
Квартира,8800000,2,51.4,31.6,7.4,2.55,5,9,504 серия,Приморский,Комендантский  проспект,1.5
Квартира,16300000,2,58.86,31.0,10.0,2.75,2,12,Кирпично-Монолитный,Выборгский,Лесная,0.9
Квартира,45760000,4,168.3,83.7,29.2,2.7,3,4,Кирпичный,Центральный,Садовая,1.0
Квартира,5700000,1,33.6,18.0,8.4,2.5,2,9,Кирпичный,Кировский,Проспект Ветеранов,2.2
Квартира,6249000,1,48.9,22.9,10.1,,4,5,Панельный,Всеволожский,Озерки,13.8
Квартира,12500000,5,104.7,73.3,17.3,,2,3,Кирпичный,Центральный,Звенигородская,0.5
Квартира,9300000,3,63.7,39.7,9.4,2.6,2,9,Панельный,Фрунзенский,Купчино,1.7
Квартира,8800000,2,55.5,32.0,8.0,,2,14,Кирпичный,Московский,Звездная,1.2
Квартира,4600000,1,25.7,17.0,4.3,2.5,7,9,Панельный,Московский,Московская,1.7
